 佳木斯纺织印染厂子弟校教师,1989.08-1993.04,佳木斯市,佳木斯纺织印染厂,教师
团支部书记,1989.08-1993.04,佳木斯市,团支部,书记
秘书科秘书,1989.08-1993.04,佳木斯市,秘书科,秘书
 佳木斯纺织厂团委书记,1993.04-1995.07,佳木斯市,佳木斯纺织厂,书记
 佳木斯市前进区政府房产处副主任,1995.07-1997.07,佳木斯市,进区政府房产处,副主任
副书记,1995.07-1997.07,佳木斯市,进区政府房产处,副书记
 佳木斯团市委宣传部部长,1997.07-1999.12,佳木斯市,佳木斯团市委宣传部,部长
宣传部长,1997.07-1999.12,佳木斯市,宣传部,部长
统战部长,1997.07-1999.12,佳木斯市,统战,部长
 佳木斯团市委办公室主任,1999.12-2002.01,佳木斯市,佳木斯团市委办公室,主任
 佳木斯团市委副书记,2002.01-2004.12,佳木斯市,佳木斯团市委,副书记
党组成员,2002.01-2004.12,佳木斯市,佳木斯团市委,成员
 佳木斯团市委书记,2004.12-2007.05,佳木斯市,佳木斯团市委,书记
党组书记,2004.12-2007.05,佳木斯市,党组,书记
 汤原县委副书记,2007.05-2011.03,重庆市县,县委,副书记
纪检委书记,2007.05-2011.03,重庆市县,纪检委,书记
 汤原县委副书记,2011.03-2011.11,重庆市县,县委,副书记
县长,2011.03-2011.11,重庆市县,人民政府,县长
 富锦市委副书记,2011.11-2015.05,富锦市,富锦市委,副书记
市长,2011.11-2015.05,富锦市,人民政府,市长
 —中共桦川县委书记,2015.05,重庆市县,中共桦川县委,书记
 任云南省高级人民法院审判员,2012.07-2015.10,云南省,云南省高级人民法院,审判员
审判委员会委员,2012.07-2015.10,云南省,审判委员会,委员
副院长。,2012.07-2015.10,云南省,审判委员会,副院长
职副主席,2017.3,云南省,云南省妇联,副主席
 任江苏省人民检察院党组成员,2010.4,江苏省,江苏省人民检察院党组,成员
副检察长,2010.4,江苏省,江苏省人民检察院党组,副检察长
 江苏省第十三届纪律检查委员会委员,2010.4,江苏省,江苏省第十三届纪律检查委员会,委员
 挂职任最高人民检察院控告厅办公室副主任；,2000.10-2001.11,-1,最高人民检察院控告厅办公室,副主任
 挂职任泰州市人民检察院副检察长。,2005.11-2006.5,泰州市,泰州市人民检察院,副检察长
 任江苏省人民检察院党组成员,2010.5,江苏省,江苏省人民检察院党组,成员
检察委员会专职委员。,2010.5,江苏省,检察委员会,专职委员
 任无锡市人民检察院党组书记,2011.10,无锡市,无锡市人民检察院党组,书记
代理检察长,2011.10,无锡市,无锡市人民检察院党组,代理检察长
检察长,2011.10,无锡市,无锡市人民检察院党组,检察长
 任隆阳区人民法院党组书记,2011.10-2012.1,营口市西市区,隆阳区人民法院党组,书记
代院长；,2011.10-2012.1,营口市西市区,隆阳区人民法院党组,院长
 云南保山市隆阳区人民法院党组书记,2012.1,保山市,云南保山市隆阳区人民法院党组,书记
院长；,2012.1,保山市,云南保山市隆阳区人民法院党组,院长
 任保山市中级人民法院审判员,2016.10,保山市,保山市中级人民法院,审判员
审判委员会委员,2016.10,保山市,审判委员会,委员
 西藏自治区那曲地区公安处刑侦处副队长,1984.08-1987.04,西藏自治区,西藏自治区那曲地区公安处刑侦处,副队长
 西藏自治区那曲地区公安处副处长,1987.04-1991.07,西藏自治区,西藏自治区那曲地区公安处,副处长
 西藏自治区那曲地区公安处处长,1991.07-1994.10,西藏自治区,西藏自治区那曲地区公安处,处长
党组书记,1991.07-1994.10,西藏自治区,党组,书记
 西藏自治区那曲地委副书记,1994.10-1995.09,西藏自治区,西藏自治区那曲地委,副书记
公安处处长,1994.10-1995.09,荆州市公安县,公安处,处长
党组副书记,1994.10-1995.09,荆州市公安县,党组,副书记
 西藏自治区公安厅副厅长,1995.09-1998.05,西藏自治区,西藏自治区公安厅,副厅长
党委委员,1995.09-1998.05,西藏自治区,党委,委员
 西藏自治区公安厅副厅长,1998.05-2003.01,西藏自治区,西藏自治区公安厅,副厅长
党委书记,1998.05-2003.01,西藏自治区,党委,书记
 西藏自治区人民检察院党组书记,2003.01-2003.02,西藏自治区,西藏自治区人民检察院党组,书记
 西藏自治区人民检察院检察长,2003.02,西藏自治区,西藏自治区人民检察院,检察长
党组书记,2003.02,西藏自治区,党组,书记
 中共西藏自治区第九届委员会委员,2003.02,西藏自治区,中共西藏自治区第九届委员会,委员
 在四川联合大学刑法学专业研究生课程班学习；,1996.09-1998.09,四川省,四川联合大学,学习
 在中国人民大学法学院法律硕士专业学习,1998.09-2000.07,-1,中国人民大学法学院,学习
 西安铁路局西安水电段工人,1975.12-1979.09,西安水,西安铁路局,工人
段团委委员,1975.12-1979.09,西安水,段团委,委员
钻井队团支部书记,1975.12-1979.09,西安水,钻井队团支部,书记
 西北政法学院法律系法律专业学习,1979.09-1983.07,-1,西北政法学院,学习
 陕西省委政法委组教处干事,1983.07-1986.10,陕西省,陕西省委政法委组教处,干事
 陕西省委政法委组教处副主任科员,1986.10-1987.11,陕西省,陕西省委政法委组教处,副主任
 陕西省委政法委组教处主任科员,1987.11-1989.08,陕西省,陕西省委政法委组教处,主任
 陕西省委政法委办公室副主任,1989.08-1991.10,陕西省,陕西省委政法委办公室,副主任
 陕西省委政法委组教处副处长,1991.10-1994.04,陕西省,陕西省委政法委组教处,副处长
 海南省高级人民法院纪检监察室副处级干部,1994.04-1995.05,海南省,海南省高级人民法院纪检监察室,干部
 海南省高级人民法院纪检组副处级纪检员,1995.05-1996.02,海南省,海南省高级人民法院纪检组,纪检员
监察员,1995.05-1996.02,海南省,海南省高级人民法院纪检组,监察员
 海南省高级人民法院宣教处副处长,1996.02-1998.07,海南省,海南省高级人民法院宣教处,副处长
 海南省高级人民法院宣教处处长,1998.07-2000.08,海南省,海南省高级人民法院宣教处,处长
 海南省委政法委副秘书长,2000.08-2003.02,海南省,海南省委政法委,副秘书长
 海南省海口市中级人民法院党组书记,2003.02-2003.04,海南省,海南省海口市中级人民法院党组,书记
副院长,2003.02-2003.04,海南省,海南省海口市中级人民法院党组,副院长
代院长,2003.02-2003.04,海南省,海南省海口市中级人民法院党组,院长
 海南省海口市中级人民法院院长,2003.04-2007.05,海南省,海南省海口市中级人民法院,院长
党组书记,2003.04-2007.05,海南省,党组,书记
 海南省人民政府副秘书长,2007.05-2012.02,海南省,人民政府,副秘书长
办公厅党组成员,2007.05-2012.02,海南省,办公厅党组,成员
 海南省司法厅厅长,2012.02-2014.04,海南省,海南省司法厅,厅长
党委书记,2012.02-2014.04,海南省,党委,书记
 海南省司法厅厅长,2014.04-2017.01,海南省,海南省司法厅,厅长
党委书记,2014.04-2017.01,海南省,党委,书记
 海南省司法厅厅长,2017.01-2017.02,海南省,海南省司法厅,厅长
