年西南政法学院法律系毕业参加工作以来主要从事民商法,1985,-1,西南政法学院,工作
知识产权法的教学与科研工作。曾先后担任西南财经大学民商法教研室主任,1985,-1,西南财经大学,主任
金融法研究所所长,1985,-1,金融法研究所,所长
 民建成都市委副主委,1985,成都市,民建成都市委副主委,副主委
 任四川省知识产权局局长。2-3,2016.5-2017.6,四川省,四川省知识产权局,局长
 任四川省知识产权局局长,2017.6,四川省,四川省知识产权局,局长
 第十一届全国政协委员,2017.6,四川省,第十一届全国政协,委员
 任昆明理工大学党委委员,2016.5,昆明市,昆明理工大学,委员
副校长,2016.5,昆明市,昆明理工大学,副校长
 在青海省财经学院财税干部培训班学习,1980.9-1981.1,青海省,青海省财经学院,干部
 在青海省委党校经济管理专业大专班学习；,2001.8-2004.6,青海省,青海省委党校,学习
 中央党校函授学院公共管理专业本科班学习,2004.8-2006.12,-1,中央党校,学习
 青海省玉树州民族师范学校中师班学习,1976.10-1978.8,青海省,青海省玉树州民族师范学校,学习
 青海省治多县民族中学教师,1978.8-1980.7,青海省,青海省治多县民族中学,教师
 青海省治多县财政科干部,1980.7-1981.7,青海省,青海省治多县财政科,干部
 青海省治多县物资站副站长,1984.7-1987.8,青海省,青海省治多县物资站,副站长
站长,1984.7-1987.8,青海省,青海省治多县物资站,站长
 青海省治多县财政局副局长,1987.8-1994.5,青海省,青海省治多县财政局,副局长
局长,1987.8-1994.5,青海省,青海省治多县财政局,局长
 青海省玉树州委办公室副主任,1994.5-2001.5,青海省,青海省玉树州委办公室,副主任
 青海省玉树州委办公室主任,2001.5-2003.11,青海省,青海省玉树州委办公室,主任
 青海省杂多县委书记,2003.11-2009.8,青海省,青海省杂多县委,书记
 青海省农牧厅纪委书记,2009.8-2016.7,青海省,青海省农牧厅纪委,书记
 --至今青海省纪委派驻省商务厅检组组长,2016.8,青海省,青海省纪委,组长
 在国家高级教育行政学院学习；,2000.10-2000.12,-1,国家高级教育行政学院,学习
 兰州大学化学系学习。,1978.3-1982.1,兰州市,兰州大学,学习
 贵州省公安厅五处干部。,1982.1-1985.9,贵州省,贵州省公安厅,干部
 西北师范大学化学系化学专业研究生。,1985.9-1988.7,-1,西北师范大学,研究生
 贵州师范大学化学系教师。,1988.7-1996.8,-1,贵州师范大学,教师
 贵州师范大学化学系党总支副书记。,1996.8-1998.8,-1,贵州师范大学,副书记
 贵州师范大学化学系主任。,1998.8-2002.8,-1,贵州师范大学,主任
 贵州师范大学副校长,2002.8-2012.7,-1,贵州师范大学,副校长
党委委员。,2002.8-2012.7,-1,党委,委员
